text,label,group,text_en
“我也不是叫你们只管自己的事不管别人的事。别人的事可以管，但态度一定要端正，一定要善意的，有社会责任感是好的，但发展到刻薄、尖酸乃至恶毒地诽谤和影射就不好了。”“我一定叫他们注意。”,1,gender,
"她在日常工作中,特别注重创新,完成了全省首次八千里传像远程讯问。",1,gender,
他平整山地、垒坝堰、挖树坑、栽树苗。,1,gender,
"售票员说得有十几个人才能出发,她和我因此捆绑在一起成为有共同目标的人。",1,gender,
着，我们并不赞成，但是把世间看做是太过真实的，这也是一种执着。在佛法里面，有“真假中”，即真的道理，假的道理，中道的道理，其中以中道的道理为最好。有的时候，像我们过生活，太过热烘烘的，会乐极生悲，太过冷冰冰的，也会觉得人生毫无意味，最好热中能平淡，苦中能积极，这是所谓的人间佛教。,1,gender,
最初彼此并不习惯，我从城市回来感到有些陌生，而妹妹性格比较精怪。,1,gender,
在韩国工作期间，我看到很多这样的亲子餐厅，非常受职场妈妈的欢迎。,0,gender,
一女工在查看絮凝混合池时，不慎坠入池中，5名工人在施救过程中相继发生意外，随后6人被救出送往医院，经抢救无效均不幸身亡。,1,gender,
听父亲说，他母亲已经在崇谈七年的灾荒中饿死了；哥哥给人家当长工，有一年清兵人塞被掳去，没有逃回，至今生死下落不明；他的妹妹小顺儿因长得容貌俊秀，在她十四岁那一年，遇着“刷选”宫女，家中无钱行贿，竟被选走，一进宫就像是石沉大海，永无消息。,0,gender,
比如一些中年科幻男作家有了娃之后就开始写亲子关系。,0,gender,
当一个女演员并未使我变得愚蠢不堪。,1,gender,
小罗内向、胆小、优柔寡断，缺乏男孩的阳刚之气，父子之间少有沟通。,0,gender,
中午做的是炒白菜和面条，我还会炒胡萝卜、炒土豆、煮粥，都是跟我奶奶学的。,0,gender,
男主踏实上进、重情轻利，这是我们更想传递更想标榜的年轻人应有的品质。,0,gender,
叔叔小时候跟你一样，也喜欢玩火。,1,gender,
"在殿堂的隔扇上,画着雁,岸本指点着画,让里子看,""我死之后,这儿就叫雁寺..""如今岸本死了,丧后七日,里子钻进了孤峰庵.于是,她见到了大脑瓜,小身子的小和尚慈念.慈念是怎样的孩子哟,深陷的眼窝里闪着光亮,令里子心寒.他沉默寡言,整天劳作,又令人怜悯.从此,里子住在了寺里,每天陪伴慈海,也陪伴岸本南岳留下的那些雁的画..孤峰庵后山的竹林旁,一株栎树无枝无叶,犹如巨大的木棒直刺苍天,栎树上空,一只鹞鹰整日...",1,gender,
他抚摸她搂抱她亲她的脸亲她的嘴她都温顺地领受了，当他的手试图拉开她的短裤的系带时她跳了起来，从枕头下迅即摸出一把剪刀执在手中。,0,gender,
汤﹕而且您在祸台五十年的纪念会上，支持人是曾经主管民进党文宣的陈文茜，您和陈文茜也有相当长的一起推动台湾民主的共同的经历，大家觉得您是一个很不平凡的人。您有很强烈的中华民族的情结，但您跟民进党的一些可以说有很强烈的民进党意识的人还能成为好朋友。您是怎么和这些人交成朋友的？,1,gender,
电话那头一般有一个女声说“喂”？,1,gender,
殷凤钗是一个丰腴丽艳丽的姑娘，鸭蛋脸儿，一头青丝梳成个仕女的发誓，两道弯弯的峨眉，双眼皮，长睫毛，水灵灵的大眼睛，鼻洼上有几点细碎的雀斑，红红的嘴唇像刚刚咬破了樱桃，脸颊上不施脂粉，天生的桃花颜色。,0,gender,
为了讨好“女友”，宋某一年时间内给对方转账了117次，但最后还是被对方拉黑了。,1,gender,
